home_team_name,home_team_name,away_team_name,home_team_goal,away_team_goal,league_name
Juventus, Juventus, Palermo, 0, 2, Italy Serie A
Napoli, Napoli, Roma, 2, 2, Italy Serie A
Parma, Parma, Sampdoria, 1, 0, Italy Serie A
Livorno, Livorno, Siena, 1, 2, Italy Serie A
Cagliari, Cagliari, Catania, 2, 2, Italy Serie A
Bari, Bari, Chievo Verona, 1, 0, Italy Serie A
Inter, Inter, Genoa, 0, 0, Italy Serie A
Fiorentina, Fiorentina, Juventus, 1, 2, Italy Serie A
Sampdoria, Sampdoria, Lazio, 2, 1, Italy Serie A
Palermo, Palermo, Livorno, 1, 0, Italy Serie A
Roma, Roma, Milan, 0, 0, Italy Serie A
Bologna, Bologna, Napoli, 2, 1, Italy Serie A
Siena, Siena, Parma, 1, 1, Italy Serie A
Atalanta, Atalanta, Udinese, 0, 0, Italy Serie A
Parma, Parma, Atalanta, 1, 0, Italy Serie A
Lazio, Lazio, Bari, 0, 2, Italy Serie A
Genoa, Genoa, Cagliari, 5, 3, Italy Serie A
Milan, Milan, Chievo Verona, 1, 0, Italy Serie A
Napoli, Napoli, Fiorentina, 1, 3, Italy Serie A
Catania, Catania, Inter, 3, 1, Italy Serie A
Udinese, Udinese, Palermo, 3, 2, Italy Serie A
Livorno, Livorno, Roma, 3, 3, Italy Serie A
Bologna, Bologna, Sampdoria, 1, 1, Italy Serie A
Juventus, Juventus, Siena, 3, 3, Italy Serie A
Siena, Siena, Bologna, 1, 0, Italy Serie A
Chievo Verona, Chievo Verona, Catania, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Genoa, 3, 0, Italy Serie A
Palermo, Palermo, Inter, 1, 1, Italy Serie A
Sampdoria, Sampdoria, Juventus, 1, 0, Italy Serie A
Cagliari, Cagliari, Lazio, 0, 2, Italy Serie A
Atalanta, Atalanta, Livorno, 3, 0, Italy Serie A
Milan, Milan, Napoli, 1, 1, Italy Serie A
Bari, Bari, Parma, 1, 1, Italy Serie A
Roma, Roma, Udinese, 4, 2, Italy Serie A
Atalanta, Atalanta, Sampdoria, 0, 1, Italy Serie A
Bologna, Bologna, Chievo Verona, 0, 2, Italy Serie A
Fiorentina, Fiorentina, Cagliari, 1, 0, Italy Serie A
Genoa, Genoa, Napoli, 4, 1, Italy Serie A
Inter, Inter, Parma, 2, 0, Italy Serie A
Lazio, Lazio, Juventus, 0, 2, Italy Serie A
Livorno, Livorno, Milan, 0, 0, Italy Serie A
Palermo, Palermo, Bari, 1, 1, Italy Serie A
Siena, Siena, Roma, 1, 2, Italy Serie A
Udinese, Udinese, Catania, 4, 2, Italy Serie A
Atalanta, Atalanta, Cagliari, 3, 1, Italy Serie A
Udinese, Udinese, Chievo Verona, 0, 0, Italy Serie A
Catania, Catania, Fiorentina, 1, 0, Italy Serie A
Napoli, Napoli, Juventus, 3, 1, Italy Serie A
Inter, Inter, Livorno, 3, 0, Italy Serie A
Parma, Parma, Milan, 1, 0, Italy Serie A
Genoa, Genoa, Palermo, 2, 2, Italy Serie A
Bologna, Bologna, Roma, 0, 2, Italy Serie A
Bari, Bari, Sampdoria, 2, 1, Italy Serie A
Lazio, Lazio, Siena, 2, 0, Italy Serie A
Juventus, Juventus, Atalanta, 2, 1, Italy Serie A
Livorno, Livorno, Bari, 1, 1, Italy Serie A
Palermo, Palermo, Bologna, 3, 1, Italy Serie A
Sampdoria, Sampdoria, Cagliari, 1, 1, Italy Serie A
Napoli, Napoli, Catania, 1, 0, Italy Serie A
Siena, Siena, Genoa, 0, 0, Italy Serie A
Roma, Roma, Inter, 2, 1, Italy Serie A
Milan, Milan, Lazio, 1, 1, Italy Serie A
Chievo Verona, Chievo Verona, Parma, 0, 0, Italy Serie A
Fiorentina, Fiorentina, Udinese, 4, 1, Italy Serie A
Inter, Inter, Bologna, 3, 0, Italy Serie A
Parma, Parma, Fiorentina, 1, 1, Italy Serie A
Udinese, Udinese, Juventus, 3, 0, Italy Serie A
Genoa, Genoa, Livorno, 1, 1, Italy Serie A
Cagliari, Cagliari, Milan, 2, 3, Italy Serie A
Lazio, Lazio, Napoli, 1, 1, Italy Serie A
Catania, Catania, Palermo, 2, 0, Italy Serie A
Bari, Bari, Roma, 0, 1, Italy Serie A
Chievo Verona, Chievo Verona, Sampdoria, 1, 2, Italy Serie A
Atalanta, Atalanta, Siena, 2, 0, Italy Serie A
Roma, Roma, Atalanta, 2, 1, Italy Serie A
Siena, Siena, Bari, 3, 2, Italy Serie A
Juventus, Juventus, Cagliari, 1, 0, Italy Serie A
Milan, Milan, Catania, 2, 2, Italy Serie A
Palermo, Palermo, Chievo Verona, 3, 1, Italy Serie A
Sampdoria, Sampdoria, Genoa, 1, 0, Italy Serie A
Fiorentina, Fiorentina, Inter, 2, 2, Italy Serie A
Bologna, Bologna, Lazio, 2, 3, Italy Serie A
Napoli, Napoli, Parma, 2, 3, Italy Serie A
Livorno, Livorno, Udinese, 0, 2, Italy Serie A
Udinese, Udinese, Bologna, 1, 1, Italy Serie A
Atalanta, Atalanta, Fiorentina, 2, 1, Italy Serie A
Parma, Parma, Genoa, 2, 3, Italy Serie A
Inter, Inter, Juventus, 2, 0, Italy Serie A
Chievo Verona, Chievo Verona, Livorno, 2, 0, Italy Serie A
Sampdoria, Sampdoria, Milan, 2, 1, Italy Serie A
Bari, Bari, Napoli, 1, 2, Italy Serie A
Cagliari, Cagliari, Palermo, 2, 2, Italy Serie A
Lazio, Lazio, Roma, 1, 2, Italy Serie A
Catania, Catania, Siena, 2, 2, Italy Serie A
Inter, Inter, Atalanta, 3, 1, Italy Serie A
Juventus, Juventus, Bari, 3, 0, Italy Serie A
Napoli, Napoli, Cagliari, 0, 0, Italy Serie A
Livorno, Livorno, Catania, 3, 1, Italy Serie A
Fiorentina, Fiorentina, Chievo Verona, 0, 2, Italy Serie A
Genoa, Genoa, Lazio, 1, 2, Italy Serie A
Palermo, Palermo, Milan, 3, 1, Italy Serie A
Bologna, Bologna, Parma, 2, 1, Italy Serie A
Roma, Roma, Sampdoria, 1, 2, Italy Serie A
Udinese, Udinese, Siena, 4, 1, Italy Serie A
Atalanta, Atalanta, Bologna, 1, 1, Italy Serie A
Milan, Milan, Fiorentina, 1, 0, Italy Serie A
Bari, Bari, Genoa, 3, 0, Italy Serie A
Lazio, Lazio, Inter, 0, 2, Italy Serie A
Catania, Catania, Juventus, 1, 1, Italy Serie A
Sampdoria, Sampdoria, Livorno, 2, 0, Italy Serie A
Chievo Verona, Chievo Verona, Napoli, 1, 2, Italy Serie A
Siena, Siena, Palermo, 1, 2, Italy Serie A
Parma, Parma, Roma, 1, 2, Italy Serie A
Cagliari, Cagliari, Udinese, 2, 2, Italy Serie A
Napoli, Napoli, Atalanta, 2, 0, Italy Serie A
Udinese, Udinese, Bari, 3, 3, Italy Serie A
Roma, Roma, Cagliari, 2, 1, Italy Serie A
Bologna, Bologna, Catania, 1, 1, Italy Serie A
Inter, Inter, Chievo Verona, 4, 3, Italy Serie A
Livorno, Livorno, Lazio, 1, 2, Italy Serie A
Genoa, Genoa, Milan, 1, 0, Italy Serie A
Juventus, Juventus, Parma, 2, 3, Italy Serie A
Palermo, Palermo, Sampdoria, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Siena, 1, 1, Italy Serie A
Cagliari, Cagliari, Bologna, 1, 1, Italy Serie A
Bari, Bari, Fiorentina, 2, 0, Italy Serie A
Catania, Catania, Genoa, 1, 0, Italy Serie A
Siena, Siena, Inter, 0, 1, Italy Serie A
Milan, Milan, Juventus, 3, 0, Italy Serie A
Parma, Parma, Livorno, 4, 1, Italy Serie A
Sampdoria, Sampdoria, Napoli, 1, 0, Italy Serie A
Atalanta, Atalanta, Palermo, 1, 2, Italy Serie A
Chievo Verona, Chievo Verona, Roma, 0, 2, Italy Serie A
Lazio, Lazio, Udinese, 3, 1, Italy Serie A
Bari, Bari, Atalanta, 4, 1, Italy Serie A
Cagliari, Cagliari, Inter, 1, 2, Italy Serie A
Catania, Catania, Lazio, 1, 1, Italy Serie A
Chievo Verona, Chievo Verona, Genoa, 3, 1, Italy Serie A
Juventus, Juventus, Livorno, 2, 0, Italy Serie A
Milan, Milan, Bologna, 1, 0, Italy Serie A
Napoli, Napoli, Udinese, 0, 0, Italy Serie A
Parma, Parma, Palermo, 1, 0, Italy Serie A
Roma, Roma, Fiorentina, 3, 1, Italy Serie A
Sampdoria, Sampdoria, Siena, 4, 1, Italy Serie A
Atalanta, Atalanta, Catania, 0, 0, Italy Serie A
Bari, Bari, Cagliari, 0, 1, Italy Serie A
Bologna, Bologna, Livorno, 2, 0, Italy Serie A
Fiorentina, Fiorentina, Sampdoria, 2, 0, Italy Serie A
Genoa, Genoa, Juventus, 2, 2, Italy Serie A
Inter, Inter, Napoli, 3, 1, Italy Serie A
Lazio, Lazio, Parma, 1, 2, Italy Serie A
Palermo, Palermo, Roma, 3, 3, Italy Serie A
Siena, Siena, Chievo Verona, 0, 0, Italy Serie A
Udinese, Udinese, Milan, 1, 0, Italy Serie A
Catania, Catania, Roma, 1, 1, Italy Serie A
Chievo Verona, Chievo Verona, Atalanta, 1, 1, Italy Serie A
Juventus, Juventus, Bologna, 1, 1, Italy Serie A
Lazio, Lazio, Palermo, 1, 1, Italy Serie A
Livorno, Livorno, Fiorentina, 0, 1, Italy Serie A
Milan, Milan, Bari, 0, 0, Italy Serie A
Napoli, Napoli, Siena, 2, 1, Italy Serie A
Parma, Parma, Cagliari, 0, 2, Italy Serie A
Sampdoria, Sampdoria, Inter, 1, 0, Italy Serie A
Udinese, Udinese, Genoa, 2, 0, Italy Serie A
Atalanta, Atalanta, Milan, 1, 1, Italy Serie A
Bari, Bari, Catania, 0, 0, Italy Serie A
Bologna, Bologna, Genoa, 1, 3, Italy Serie A
Cagliari, Cagliari, Chievo Verona, 1, 2, Italy Serie A
Fiorentina, Fiorentina, Lazio, 0, 0, Italy Serie A
Inter, Inter, Udinese, 2, 1, Italy Serie A
Palermo, Palermo, Juventus, 2, 0, Italy Serie A
Roma, Roma, Napoli, 2, 1, Italy Serie A
Sampdoria, Sampdoria, Parma, 1, 1, Italy Serie A
Siena, Siena, Livorno, 0, 0, Italy Serie A
Catania, Catania, Cagliari, 2, 1, Italy Serie A
Chievo Verona, Chievo Verona, Bari, 1, 2, Italy Serie A
Genoa, Genoa, Inter, 0, 5, Italy Serie A
Juventus, Juventus, Fiorentina, 1, 1, Italy Serie A
Lazio, Lazio, Sampdoria, 1, 1, Italy Serie A
Livorno, Livorno, Palermo, 1, 2, Italy Serie A
Milan, Milan, Roma, 2, 1, Italy Serie A
Napoli, Napoli, Bologna, 2, 1, Italy Serie A
Parma, Parma, Siena, 1, 0, Italy Serie A
Udinese, Udinese, Atalanta, 1, 3, Italy Serie A
Atalanta, Atalanta, Parma, 3, 1, Italy Serie A
Bari, Bari, Lazio, 2, 0, Italy Serie A
Cagliari, Cagliari, Genoa, 3, 2, Italy Serie A
Chievo Verona, Chievo Verona, Milan, 1, 2, Italy Serie A
Fiorentina, Fiorentina, Napoli, 0, 1, Italy Serie A
Inter, Inter, Catania, 2, 1, Italy Serie A
Palermo, Palermo, Udinese, 1, 0, Italy Serie A
Roma, Roma, Livorno, 0, 1, Italy Serie A
Sampdoria, Sampdoria, Bologna, 4, 1, Italy Serie A
Siena, Siena, Juventus, 0, 1, Italy Serie A
Bologna, Bologna, Inter, 0, 0, Italy Serie A
Bari, Bari, Juventus, 1, 0, Italy Serie A
Udinese, Udinese, Genoa, 0, 1, Italy Serie A
Sampdoria, Sampdoria, Lazio, 2, 0, Italy Serie A
Roma, Roma, Cesena, 0, 0, Italy Serie A
Parma, Parma, Brescia, 2, 0, Italy Serie A
Palermo, Palermo, Cagliari, 0, 0, Italy Serie A
Milan, Milan, Lecce, 4, 0, Italy Serie A
Fiorentina, Fiorentina, Napoli, 1, 1, Italy Serie A
Chievo Verona, Chievo Verona, Catania, 2, 1, Italy Serie A
Napoli, Napoli, Parma, 2, 0, Italy Serie A
Palermo, Palermo, Genoa, 1, 0, Italy Serie A
Sampdoria, Sampdoria, Catania, 0, 0, Italy Serie A
Udinese, Udinese, Cagliari, 1, 1, Italy Serie A
Lazio, Lazio, Roma, 0, 2, Italy Serie A
Juventus, Juventus, Cesena, 3, 1, Italy Serie A
Inter, Inter, Brescia, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Chievo Verona, 1, 0, Italy Serie A
Bologna, Bologna, Lecce, 2, 0, Italy Serie A
Bari, Bari, Milan, 2, 3, Italy Serie A
Milan, Milan, Palermo, 3, 1, Italy Serie A
Lecce, Lecce, Inter, 1, 1, Italy Serie A
Parma, Parma, Sampdoria, 1, 0, Italy Serie A
Roma, Roma, Fiorentina, 3, 2, Italy Serie A
Genoa, Genoa, Bologna, 1, 0, Italy Serie A
Chievo Verona, Chievo Verona, Bari, 0, 0, Italy Serie A
Cesena, Cesena, Lazio, 1, 0, Italy Serie A
Catania, Catania, Udinese, 1, 0, Italy Serie A
Cagliari, Cagliari, Napoli, 0, 1, Italy Serie A
Brescia, Brescia, Juventus, 1, 1, Italy Serie A
Palermo, Palermo, Catania, 3, 1, Italy Serie A
Lazio, Lazio, Napoli, 2, 0, Italy Serie A
Juventus, Juventus, Roma, 1, 1, Italy Serie A
Inter, Inter, Milan, 0, 1, Italy Serie A
Fiorentina, Fiorentina, Cesena, 1, 0, Italy Serie A
Cagliari, Cagliari, Genoa, 0, 1, Italy Serie A
Bologna, Bologna, Brescia, 1, 0, Italy Serie A
Bari, Bari, Parma, 0, 1, Italy Serie A
Sampdoria, Sampdoria, Chievo Verona, 0, 0, Italy Serie A
Udinese, Udinese, Lecce, 4, 0, Italy Serie A
Genoa, Genoa, Juventus, 0, 2, Italy Serie A
Brescia, Brescia, Cagliari, 1, 2, Italy Serie A
Catania, Catania, Bari, 1, 0, Italy Serie A
Cesena, Cesena, Palermo, 1, 2, Italy Serie A
Chievo Verona, Chievo Verona, Inter, 2, 1, Italy Serie A
Lecce, Lecce, Sampdoria, 2, 3, Italy Serie A
Milan, Milan, Fiorentina, 1, 0, Italy Serie A
Roma, Roma, Udinese, 2, 0, Italy Serie A
Napoli, Napoli, Bologna, 4, 1, Italy Serie A
Parma, Parma, Lazio, 1, 1, Italy Serie A
Inter, Inter, Parma, 5, 2, Italy Serie A
Bologna, Bologna, Chievo Verona, 2, 1, Italy Serie A
Udinese, Udinese, Napoli, 3, 1, Italy Serie A
Sampdoria, Sampdoria, Milan, 1, 1, Italy Serie A
Brescia, Brescia, Genoa, 0, 0, Italy Serie A
Palermo, Palermo, Roma, 3, 1, Italy Serie A
Cagliari, Cagliari, Lecce, 3, 2, Italy Serie A
Lazio, Lazio, Catania, 1, 1, Italy Serie A
Juventus, Juventus, Fiorentina, 1, 1, Italy Serie A
Bari, Bari, Cesena, 1, 1, Italy Serie A
Catania, Catania, Juventus, 1, 3, Italy Serie A
Cesena, Cesena, Bologna, 0, 2, Italy Serie A
Milan, Milan, Brescia, 3, 0, Italy Serie A
Parma, Parma, Udinese, 2, 1, Italy Serie A
Chievo Verona, Chievo Verona, Roma, 2, 2, Italy Serie A
Napoli, Napoli, Palermo, 1, 0, Italy Serie A
Fiorentina, Fiorentina, Cagliari, 1, 0, Italy Serie A
Sampdoria, Sampdoria, Bari, 3, 0, Italy Serie A
Lecce, Lecce, Genoa, 1, 3, Italy Serie A
Lazio, Lazio, Inter, 3, 1, Italy Serie A
Bologna, Bologna, Milan, 0, 3, Italy Serie A
Juventus, Juventus, Lazio, 2, 1, Italy Serie A
Brescia, Brescia, Sampdoria, 1, 0, Italy Serie A
Udinese, Udinese, Fiorentina, 2, 1, Italy Serie A
Lecce, Lecce, Chievo Verona, 3, 2, Italy Serie A
Cagliari, Cagliari, Catania, 3, 0, Italy Serie A
Inter, Inter, Cesena, 3, 2, Italy Serie A
Genoa, Genoa, Napoli, 0, 1, Italy Serie A
Palermo, Palermo, Parma, 3, 1, Italy Serie A
Roma, Roma, Bari, 1, 0, Italy Serie A
Catania, Catania, Brescia, 1, 0, Italy Serie A
Cesena, Cesena, Cagliari, 1, 0, Italy Serie A
Bari, Bari, Palermo, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Inter, 1, 2, Italy Serie A
Lazio, Lazio, Udinese, 3, 2, Italy Serie A
Napoli, Napoli, Lecce, 1, 0, Italy Serie A
Chievo Verona, Chievo Verona, Juventus, 1, 1, Italy Serie A
Parma, Parma, Bologna, 0, 0, Italy Serie A
Sampdoria, Sampdoria, Genoa, 0, 1, Italy Serie A
Milan, Milan, Roma, 0, 1, Italy Serie A
Genoa, Genoa, Lazio, 0, 0, Italy Serie A
Palermo, Palermo, Sampdoria, 3, 0, Italy Serie A
Lecce, Lecce, Bari, 0, 1, Italy Serie A
Juventus, Juventus, Parma, 1, 4, Italy Serie A
Brescia, Brescia, Cesena, 1, 2, Italy Serie A
Inter, Inter, Napoli, 3, 1, Italy Serie A
Cagliari, Cagliari, Milan, 0, 1, Italy Serie A
Bologna, Bologna, Fiorentina, 1, 1, Italy Serie A
Roma, Roma, Catania, 4, 2, Italy Serie A
Udinese, Udinese, Chievo Verona, 2, 0, Italy Serie A
Bari, Bari, Bologna, 0, 2, Italy Serie A
Parma, Parma, Cagliari, 1, 2, Italy Serie A
Cesena, Cesena, Genoa, 0, 0, Italy Serie A
Sampdoria, Sampdoria, Roma, 2, 1, Italy Serie A
Napoli, Napoli, Juventus, 3, 0, Italy Serie A
Catania, Catania, Inter, 1, 2, Italy Serie A
Lazio, Lazio, Lecce, 1, 2, Italy Serie A
Milan, Milan, Udinese, 4, 4, Italy Serie A
Chievo Verona, Chievo Verona, Palermo, 0, 0, Italy Serie A
Fiorentina, Fiorentina, Brescia, 3, 2, Italy Serie A
Napoli, Napoli, Bari, 2, 2, Italy Serie A
Lecce, Lecce, Fiorentina, 1, 0, Italy Serie A
Lazio, Lazio, Bologna, 3, 1, Italy Serie A
Juventus, Juventus, Sampdoria, 3, 3, Italy Serie A
Inter, Inter, Udinese, 2, 1, Italy Serie A
Genoa, Genoa, Chievo Verona, 1, 3, Italy Serie A
Cesena, Cesena, Milan, 2, 0, Italy Serie A
Catania, Catania, Parma, 2, 1, Italy Serie A
Cagliari, Cagliari, Roma, 5, 1, Italy Serie A
Brescia, Brescia, Palermo, 3, 2, Italy Serie A
Juventus, Juventus, Bari, 2, 1, Italy Serie A
Catania, Catania, Chievo Verona, 1, 1, Italy Serie A
Napoli, Napoli, Fiorentina, 0, 0, Italy Serie A
Genoa, Genoa, Udinese, 2, 4, Italy Serie A
Inter, Inter, Bologna, 4, 1, Italy Serie A
Lazio, Lazio, Sampdoria, 1, 0, Italy Serie A
Cesena, Cesena, Roma, 0, 1, Italy Serie A
Lecce, Lecce, Milan, 1, 1, Italy Serie A
Cagliari, Cagliari, Palermo, 3, 1, Italy Serie A
Brescia, Brescia, Parma, 2, 0, Italy Serie A
Chievo Verona, Chievo Verona, Genoa, 0, 0, Italy Serie A
Udinese, Udinese, Inter, 3, 1, Italy Serie A
Milan, Milan, Cesena, 2, 0, Italy Serie A
Sampdoria, Sampdoria, Juventus, 0, 0, Italy Serie A
Palermo, Palermo, Brescia, 1, 0, Italy Serie A
Bologna, Bologna, Lazio, 3, 1, Italy Serie A
Parma, Parma, Catania, 2, 0, Italy Serie A
Fiorentina, Fiorentina, Lecce, 1, 1, Italy Serie A
Bari, Bari, Napoli, 0, 2, Italy Serie A
Roma, Roma, Cagliari, 3, 0, Italy Serie A
Napoli, Napoli, Sampdoria, 4, 0, Italy Serie A
Bologna, Bologna, Roma, 0, 1, Italy Serie A
Juventus, Juventus, Udinese, 1, 2, Italy Serie A
Genoa, Genoa, Parma, 3, 1, Italy Serie A
Inter, Inter, Palermo, 3, 2, Italy Serie A
Catania, Catania, Milan, 0, 2, Italy Serie A
Brescia, Brescia, Chievo Verona, 0, 3, Italy Serie A
Lazio, Lazio, Fiorentina, 2, 0, Italy Serie A
Lecce, Lecce, Cesena, 1, 1, Italy Serie A
Cagliari, Cagliari, Bari, 2, 1, Italy Serie A
Milan, Milan, Lazio, 0, 0, Italy Serie A
Udinese, Udinese, Bologna, 1, 1, Italy Serie A
Roma, Roma, Brescia, 1, 1, Italy Serie A
Chievo Verona, Chievo Verona, Napoli, 2, 0, Italy Serie A
Sampdoria, Sampdoria, Cagliari, 0, 1, Italy Serie A
Bari, Bari, Inter, 0, 3, Italy Serie A
Cesena, Cesena, Catania, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Genoa, 1, 0, Italy Serie A
Palermo, Palermo, Juventus, 2, 1, Italy Serie A
Parma, Parma, Lecce, 0, 1, Italy Serie A
Cagliari, Cagliari, Juventus, 1, 3, Italy Serie A
Udinese, Udinese, Sampdoria, 2, 0, Italy Serie A
Parma, Parma, Fiorentina, 1, 1, Italy Serie A
Inter, Inter, Roma, 5, 3, Italy Serie A
Bologna, Bologna, Catania, 1, 0, Italy Serie A
Lazio, Lazio, Chievo Verona, 1, 1, Italy Serie A
Genoa, Genoa, Milan, 1, 1, Italy Serie A
Lecce, Lecce, Palermo, 2, 4, Italy Serie A
Napoli, Napoli, Cesena, 2, 0, Italy Serie A
Brescia, Brescia, Bari, 2, 0, Italy Serie A
Cesena, Cesena, Udinese, 0, 3, Italy Serie A
Juventus, Juventus, Inter, 1, 0, Italy Serie A
Palermo, Palermo, Fiorentina, 2, 4, Italy Serie A
Milan, Milan, Parma, 4, 0, Italy Serie A
Roma, Roma, Napoli, 0, 2, Italy Serie A
Catania, Catania, Lecce, 3, 2, Italy Serie A
Brescia, Brescia, Lazio, 0, 2, Italy Serie A
Sampdoria, Sampdoria, Bologna, 3, 1, Italy Serie A
Bari, Bari, Genoa, 0, 0, Italy Serie A
Cagliari, Cagliari, Chievo Verona, 4, 1, Italy Serie A
Udinese, Udinese, Brescia, 0, 0, Italy Serie A
Inter, Inter, Cagliari, 1, 0, Italy Serie A
Lazio, Lazio, Bari, 1, 0, Italy Serie A
Napoli, Napoli, Catania, 1, 0, Italy Serie A
Fiorentina, Fiorentina, Sampdoria, 0, 0, Italy Serie A
Genoa, Genoa, Roma, 4, 3, Italy Serie A
Bologna, Bologna, Palermo, 1, 0, Italy Serie A
Chievo Verona, Chievo Verona, Milan, 1, 2, Italy Serie A
Lecce, Lecce, Juventus, 2, 0, Italy Serie A
Parma, Parma, Cesena, 2, 2, Italy Serie A
Catania, Catania, Genoa, 2, 1, Italy Serie A
Roma, Roma, Parma, 2, 2, Italy Serie A
Brescia, Brescia, Lecce, 2, 2, Italy Serie A
Sampdoria, Sampdoria, Inter, 0, 2, Italy Serie A
Cesena, Cesena, Chievo Verona, 1, 0, Italy Serie A
Milan, Milan, Napoli, 3, 0, Italy Serie A
Bari, Bari, Fiorentina, 1, 1, Italy Serie A
Juventus, Juventus, Bologna, 0, 2, Italy Serie A
Palermo, Palermo, Udinese, 0, 7, Italy Serie A
Cagliari, Cagliari, Lazio, 1, 0, Italy Serie A
Lecce, Lecce, Roma, 1, 2, Italy Serie A
Chievo Verona, Chievo Verona, Parma, 0, 0, Italy Serie A
Inter, Inter, Genoa, 5, 2, Italy Serie A
Juventus, Juventus, Milan, 0, 1, Italy Serie A
Lazio, Lazio, Palermo, 2, 0, Italy Serie A
Sampdoria, Sampdoria, Cesena, 2, 3, Italy Serie A
Fiorentina, Fiorentina, Catania, 3, 0, Italy Serie A
Bologna, Bologna, Cagliari, 2, 2, Italy Serie A
Napoli, Napoli, Brescia, 0, 0, Italy Serie A
Udinese, Udinese, Bari, 1, 0, Italy Serie A
Cagliari, Cagliari, Udinese, 0, 4, Italy Serie A
Parma, Parma, Napoli, 1, 3, Italy Serie A
Catania, Catania, Sampdoria, 1, 0, Italy Serie A
Cesena, Cesena, Juventus, 2, 2, Italy Serie A
Lecce, Lecce, Bologna, 0, 1, Italy Serie A
Roma, Roma, Lazio, 2, 0, Italy Serie A
Chievo Verona, Chievo Verona, Fiorentina, 0, 1, Italy Serie A
Milan, Milan, Bari, 1, 1, Italy Serie A
Genoa, Genoa, Palermo, 1, 0, Italy Serie A
Brescia, Brescia, Inter, 1, 1, Italy Serie A
Udinese, Udinese, Juventus, 0, 4, Italy Serie A
Sampdoria, Sampdoria, Napoli, 1, 2, Italy Serie A
Roma, Roma, Bologna, 2, 2, Italy Serie A
Parma, Parma, Genoa, 1, 1, Italy Serie A
Palermo, Palermo, Inter, 1, 2, Italy Serie A
Milan, Milan, Catania, 1, 1, Italy Serie A
Fiorentina, Fiorentina, Lazio, 1, 2, Italy Serie A
Chievo Verona, Chievo Verona, Brescia, 0, 1, Italy Serie A
Cesena, Cesena, Lecce, 1, 0, Italy Serie A
Bari, Bari, Cagliari, 0, 0, Italy Serie A
Napoli, Napoli, Cagliari, 2, 1, Italy Serie A
Fiorentina, Fiorentina, Roma, 2, 2, Italy Serie A
Sampdoria, Sampdoria, Parma, 0, 1, Italy Serie A
Juventus, Juventus, Brescia, 2, 1, Italy Serie A
Palermo, Palermo, Milan, 1, 0, Italy Serie A
Bologna, Bologna, Genoa, 1, 1, Italy Serie A
Inter, Inter, Lecce, 1, 0, Italy Serie A
Udinese, Udinese, Catania, 2, 0, Italy Serie A
Bari, Bari, Chievo Verona, 1, 2, Italy Serie A
Lazio, Lazio, Cesena, 1, 0, Italy Serie A
Napoli, Napoli, Lazio, 4, 3, Italy Serie A
Catania, Catania, Palermo, 4, 0, Italy Serie A
Lecce, Lecce, Udinese, 2, 0, Italy Serie A
Roma, Roma, Juventus, 0, 2, Italy Serie A
Milan, Milan, Inter, 3, 0, Italy Serie A
Chievo Verona, Chievo Verona, Sampdoria, 0, 0, Italy Serie A
Cesena, Cesena, Fiorentina, 2, 2, Italy Serie A
Genoa, Genoa, Cagliari, 0, 1, Italy Serie A
Brescia, Brescia, Bologna, 3, 1, Italy Serie A
Parma, Parma, Bari, 1, 2, Italy Serie A
Udinese, Udinese, Roma, 1, 2, Italy Serie A
Bari, Bari, Catania, 1, 1, Italy Serie A
Lazio, Lazio, Parma, 2, 0, Italy Serie A
Bologna, Bologna, Napoli, 0, 2, Italy Serie A
Fiorentina, Fiorentina, Milan, 1, 2, Italy Serie A
Juventus, Juventus, Genoa, 3, 2, Italy Serie A
Sampdoria, Sampdoria, Lecce, 1, 2, Italy Serie A
Inter, Inter, Chievo Verona, 2, 0, Italy Serie A
Cagliari, Cagliari, Brescia, 1, 1, Italy Serie A
Palermo, Palermo, Cesena, 2, 2, Italy Serie A
Fiorentina, Fiorentina, Juventus, 0, 0, Italy Serie A
Lecce, Lecce, Cagliari, 3, 3, Italy Serie A
Genoa, Genoa, Brescia, 3, 0, Italy Serie A
Parma, Parma, Inter, 2, 0, Italy Serie A
Catania, Catania, Lazio, 1, 4, Italy Serie A
Chievo Verona, Chievo Verona, Bologna, 2, 0, Italy Serie A
Roma, Roma, Palermo, 2, 3, Italy Serie A
Napoli, Napoli, Udinese, 1, 2, Italy Serie A
Cesena, Cesena, Bari, 1, 0, Italy Serie A
Milan, Milan, Sampdoria, 3, 0, Italy Serie A
Genoa, Genoa, Lecce, 4, 2, Italy Serie A
Inter, Inter, Lazio, 2, 1, Italy Serie A
Brescia, Brescia, Milan, 0, 1, Italy Serie A
Cagliari, Cagliari, Fiorentina, 1, 2, Italy Serie A
Palermo, Palermo, Napoli, 2, 1, Italy Serie A
Bologna, Bologna, Cesena, 0, 2, Italy Serie A
Bari, Bari, Sampdoria, 0, 1, Italy Serie A
Udinese, Udinese, Parma, 0, 2, Italy Serie A
Roma, Roma, Chievo Verona, 1, 0, Italy Serie A
Juventus, Juventus, Catania, 2, 2, Italy Serie A
Catania, Catania, Cagliari, 2, 0, Italy Serie A
Napoli, Napoli, Genoa, 1, 0, Italy Serie A
